Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average
Arcadia Quest,2014,2,4,60,13,9152,7
Goa,2004,2,4,90,12,10928,7
Horrified,2019,1,5,60,10,6442,7
The Princes of Florence,2000,2,5,100,12,14555,7
Cyclades,2009,2,5,90,13,17873,7
Secret Hitler,2016,5,10,45,13,18198,7
Cthulhu: Death May Die,2019,1,5,120,14,3990,8
Sushi Go Party!,2016,2,8,20,8,22327,7
Steam,2009,3,5,90,10,9567,7
YINSH,2003,2,2,60,9,7342,7
Viticulture,2013,2,6,90,13,10189,7
Galaxy Trucker,2007,2,4,60,10,29509,7
Deception: Murder in Hong Kong,2014,4,12,20,14,16001,7
Tyrants of the Underdark,2016,2,4,60,14,5083,7
Roll Player,2016,1,4,90,10,13286,7
Shogun,2006,3,5,120,12,12828,7
Isle of Skye: From Chieftain to King,2015,2,5,50,8,20425,7
1830: Railways & Robber Barons,1986,2,7,360,14,4694,7
Flamme Rouge,2016,2,4,45,8,12139,7
Century: Golem Edition,2017,2,5,45,8,6991,7
Hero Realms,2016,2,4,30,12,12203,7
Glory to Rome,2005,2,5,60,12,12968,7
Lewis & Clark: The Expedition,2013,1,5,120,14,12926,7
1960: The Making of the President,2007,2,2,120,12,8516,7
Power Grid Deluxe: Europe/North America,2014,2,6,120,12,3768,8
Hanamikoji,2013,2,2,15,10,11047,7
Bora Bora,2013,2,4,120,12,9107,7
Imperial,2006,2,6,180,13,8246,7
Dungeon Petz,2011,2,4,90,13,12707,7
Samurai,1998,2,4,60,10,14758,7
Space Base,2018,2,5,60,14,8388,7
Seasons,2012,2,4,60,14,20812,7
Imperial Settlers,2014,1,4,90,10,21089,7
Pulsar 2849,2017,2,4,90,14,6080,7
Dixit: Odyssey,2011,3,12,30,8,16717,7
Marco Polo II: In the Service of the Khan,2019,2,4,120,12,3040,8
Age of Empires III: The Age of Discovery,2007,2,5,120,10,9820,7
Kingdomino,2016,2,4,15,8,32277,7
Lords of Hellas,2018,1,4,90,14,5507,7
Space Alert,2008,1,5,30,12,14763,7
Modern Art,1992,3,5,45,10,16721,7
Fury of Dracula (Third/Fourth Edition),2015,2,5,180,14,11489,7
Glen More II: Chronicles,2019,2,4,120,12,3491,8
Dead of Winter: The Long Night,2016,2,5,120,14,7881,7
Battle Line,2000,2,2,30,12,15652,7
Summoner Wars: Master Set,2011,2,4,60,9,10358,7
Rococo,2013,2,5,120,12,7517,7
Exit: The Game - The Abandoned Cabin,2016,1,6,120,12,8821,7
Dominion (Second Edition),2016,2,4,30,14,4275,7
Navegador,2010,2,5,90,12,8022,7
Runewars,2010,2,4,240,14,7763,7
The Manhattan Project: Energy Empire,2016,1,5,120,13,4771,7
Tapestry,2019,1,5,120,12,11583,7
Alien Frontiers,2010,2,4,90,13,14150,7
Indonesia,2005,2,5,240,14,4034,7
Imperial 2030,2009,2,6,180,12,5728,7
Undaunted: Normandy,2019,2,2,60,14,4296,7
Burgle Bros.,2015,1,4,90,12,8409,7
Hannibal: Rome vs. Carthage,1996,2,2,200,12,4785,7
Concordia Venus,2018,2,6,120,12,2301,8
BattleLore (Second Edition),2013,2,2,90,14,5645,7
Vindication,2018,2,5,150,14,4583,7
Antiquity,2004,2,4,180,14,3833,7
Lost Ruins of Arnak,2020,1,4,120,12,2819,8
Western Legends,2018,2,6,90,14,6615,7
Cthulhu Wars,2015,2,4,120,14,4585,7
Hive,2000,2,2,20,9,29596,7
Onitama,2014,2,2,20,8,15161,7
Ethnos,2017,2,6,60,14,9741,7
Mage Wars Arena,2012,2,2,90,13,7379,7
Century: Spice Road,2017,2,5,45,8,18546,7
Aeon's End: Legacy,2019,1,4,90,14,2758,8
Above and Below,2015,2,4,90,13,12875,7
Nemo's War (Second Edition),2017,1,4,120,13,3425,7
Small World,2009,2,5,80,8,61747,7
Arboretum,2015,2,4,30,8,13125,7
Mysterium,2015,2,7,42,10,32087,7
Dungeon Lords,2009,2,4,90,12,12875,7
War Chest,2018,2,4,30,14,3869,7
The Taverns of Tiefenthal,2019,2,4,60,12,6323,7
KLASK,2014,2,2,10,8,5667,7
Telestrations,2009,4,8,30,12,12846,7
Bruges,2013,2,4,60,10,10275,7
Sid Meier's Civilization: The Board Game,2010,2,4,240,13,14425,7
Star Wars: Outer Rim,2019,1,4,180,14,5686,7
Letters from Whitechapel,2011,2,6,60,14,13721,7
Tikal,1999,2,4,90,10,17918,7
Heaven & Ale,2017,2,4,90,12,6424,7
Tiny Epic Galaxies,2015,1,5,45,14,15720,7
Merchants & Marauders,2010,2,4,180,13,12724,7
Cryptid,2018,3,5,50,10,7503,7
The Resistance,2009,5,10,30,13,35929,7
Glass Road,2013,1,4,80,13,9027,7
Mission: Red Planet (Second Edition),2015,2,6,90,14,8893,7
Ghost Stories,2008,1,4,60,12,19412,7
Acquire,1964,2,6,90,12,18214,7
Star Wars: Armada,2015,2,2,120,14,4589,7
Dixit,2008,3,6,30,8,50684,7
Viscounts of the West Kingdom,2020,1,4,90,12,2757,8
Agricola: All Creatures Big and Small,2012,2,2,30,13,12323,7
Takenoko,2011,2,4,45,8,35214,7
Here I Stand,2006,2,6,360,12,3568,7
Neuroshima Hex! 3.0,2006,1,4,30,13,13294,7
Love Letter,2012,2,4,20,10,56013,7
Dune,2019,2,6,120,14,3181,8
Evolution: Climate,2016,2,6,60,12,6082,7
Survive: Escape from Atlantis!,1982,2,4,60,8,20470,7
Altiplano,2017,2,5,120,12,6908,7
Die Macher,1986,3,5,240,14,5228,7
Harry Potter: Hogwarts Battle,2016,2,4,60,11,11960,7
Bärenpark,2017,2,4,45,8,12028,7
Notre Dame,2007,2,5,75,10,12243,7
San Juan,2004,2,4,60,10,22239,7
51st State: Master Set,2016,1,4,90,14,5156,7
At the Gates of Loyang,2009,1,4,120,10,9766,7
Endeavor,2009,3,5,90,12,9088,7
In the Year of the Dragon,2007,2,5,100,12,10791,7
The Pillars of the Earth,2006,2,4,120,12,16327,7
Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,2016,1,8,120,10,4138,7
For Sale,1997,3,6,30,10,23898,7
Bruxelles 1893,2013,2,5,125,13,4723,7
Saint Petersburg,2004,2,4,60,10,14545,7
Claustrophobia,2009,2,2,45,14,6650,7
Blood Bowl: Team Manager - The Card Game,2011,2,4,120,14,10336,7
Clash of Cultures,2012,2,4,240,14,5185,7
Azul: Stained Glass of Sintra,2018,2,4,45,8,8824,7
Bunny Kingdom,2017,2,4,60,12,7627,7
Charterstone,2017,1,6,75,14,11747,7
Ticket to Ride: Märklin,2006,2,5,60,8,8717,7
Dune,1979,2,6,180,12,5491,7
King of Tokyo,2011,2,6,30,8,57621,7
Civilization,1980,2,7,360,12,7111,7
Arkham Horror (Third Edition),2018,1,6,180,14,4896,7
