Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average
Astro Trash,2019,3,5,15,6,62,6
About Time,2007,2,8,90,14,88,6
Wolle,2020,2,6,5,8,39,6
Guns of Galicia,2012,2,2,60,12,46,6
Maharaja,2020,1,4,90,14,65,6
Queen of the Cupcakes,2005,2,5,20,7,245,5
Dalek Dice,2016,2,99,20,0,191,5
PLAGUE: The Card Game,2012,2,6,20,12,82,6
Basic Impetus,2006,2,2,60,0,37,7
The Hearmees,2017,3,4,20,5,41,6
Cooking Rumble,2018,2,3,10,6,51,7
Unlock!: Escape Adventures - Noël en Juillet,2018,1,6,30,10,32,7
Port Stanley: Battle for the Falklands,1984,2,2,360,12,74,6
Monster Café,2013,2,4,20,8,88,6
King's Blood,2003,1,6,45,12,305,5
The Russo-Turkish War,,,,,,,
Tri-Tactics,1925,2,2,240,12,69,6
Dungeon WC,2019,1,5,5,7,82,6
Clue VCR Mystery Game,1985,2,10,60,13,290,5
Waroong Wars (Second Edition),2018,3,5,45,8,38,7
De Bellis Magistrorum Militum: Wargame Rules for Ancient and Medieval Battle from 3000 BC to 1525 AD,2007,2,2,240,11,64,6
Lunatix Loop,2000,4,6,0,10,67,6
Anno Domini: Im Osten,2010,2,8,30,10,32,7
Das Regeln Wir Schon!,1994,3,5,90,12,59,6
The Oilman Game,1994,2,8,120,10,94,6
Privacy Quickie,2015,5,10,35,16,44,6
WOO,2017,2,2,25,10,94,6
Geisterfalle,2018,2,4,0,6,38,6
Clash of the Eagles: Borodino & Friedland,1999,2,2,0,12,52,6
BattleTech: Battletroops,1989,2,2,90,10,107,6
Deca Slayer,2017,3,6,30,10,55,6
Balam,2006,2,4,90,12,56,6
Verbàlia,,,,,,,
Campaign for Guadalcanal: Long Lance & Henderson Field,1994,1,2,1,12,39,6
Atacama,2013,2,4,20,8,135,5
Mini Shogi,1970,2,2,15,8,36,7
Bloody Keren,1986,2,2,90,12,66,6
Stratego: Marvel Heroes,2007,2,2,0,8,72,6
Star Traders,2016,2,6,180,7,36,7
Gadgeteers,2017,2,4,30,8,68,6
Sporz Original Outbreak,2011,7,20,75,10,45,6
GoTown,2017,2,4,20,6,155,6
Zombie Tsunami,2017,3,6,35,10,270,5
Showbiz,1984,2,8,90,8,93,6
Visual Game,1991,4,6,1,0,113,6
Zombies vs Cheerleaders,2015,2,2,30,10,105,6
1830 Cardgame,2012,3,6,120,0,63,6
Archers of Nand,2020,1,2,20,10,46,7
Busstop: The Boardgame,2010,2,5,20,9,60,6
Paradox University,2019,1,4,30,8,63,7
7-Card Slugfest,2013,3,8,30,0,221,5
Cromwell's Victory: The Battle of Marston Moor,1985,1,0,90,12,79,6
Debatable,2017,3,16,120,13,67,6
Tortuga,2014,2,4,35,8,322,5
TANKS: The Modern Age,2018,2,2,90,0,34,7
Periorbis,2017,2,6,120,13,74,6
Tonga Island,2009,2,4,20,6,85,6
Charty Party,2019,3,8,90,17,100,6
Bohnanza Fun & Easy,2010,3,5,45,8,53,6
Vivaldi,2019,5,5,20,10,46,6
Knights of the Air,1987,1,6,150,12,219,6
Terra-017,2017,2,4,120,14,64,7
Autumn of Glory,1995,2,2,0,12,53,6
The Elder Scrolls: Call to Arms,2019,1,2,120,14,58,7
The Lost World Jurassic Park Game,1996,2,4,90,8,194,5
Opération Husky,,,,,,,
Bambuti,1999,2,2,20,12,127,5
Clue Express,2008,3,4,20,8,140,5
Trash Lords,2017,3,5,30,17,38,7
Chain Mail: Adventures of Earthshine,2019,1,4,45,14,38,7
Fantasy Warriors,1990,2,2,120,10,77,6
Wig Out!,2004,2,6,12,6,173,5
Battles of the Ancient World Volume II,1995,1,2,60,10,60,6
Jackson & Sheridan: The Valley Campaigns,2016,1,2,120,13,32,7
Pikto,2018,3,6,30,12,38,6
Rome at War II: Fading Legions,2002,2,2,120,12,100,6
Swordfish,2012,2,6,75,14,183,5
Super Tock 4,2006,2,4,45,6,131,6
Skiwampus,2016,2,6,20,10,51,6
Bristol 1350,2021,1,9,40,13,42,7
Fightball,2002,2,2,20,12,222,5
War in the Wind: The Battle of Attu Island,,,,,,,
Toscana,2001,2,2,20,10,364,5
Rising for the Throne,2018,2,6,50,8,152,6
Monkey Temple,2018,3,8,30,8,49,6
Trudvang Legends,2021,1,4,60,14,109,7
Politico,2007,2,5,30,10,54,6
Sanctuary: The Keepers Era,2021,1,2,60,14,38,8
Schäferstündchen,2015,4,8,30,10,75,6
Schwarzes Gold,2009,2,4,25,8,57,6
El mundo de Águila Roja,2011,2,4,45,14,44,6
Combined Arms: Command Decision Series Game,1988,2,2,240,12,46,7
SCAPE,2015,3,14,20,8,216,5
Ruthenia,2010,2,4,120,12,32,7
Tournament of Towers,2018,2,4,20,5,60,6
Finale,1998,2,2,30,12,250,5
The Ardennes Offensive: The Battle of the Bulge,,,,,,,
Dragon Quest: Slime Race,0,2,5,0,0,32,7
Wintergewitter,2007,1,2,300,12,44,6
Jazz: The Singing Card Game,2013,1,10,10,8,89,6
Wrott & Swindlers,1995,3,6,90,0,52,6
Summy,2010,2,10,30,10,60,6
Enigma: Beyond Code,2020,1,5,60,12,42,7
Star Explorer,1982,1,4,120,12,48,6
Fou Fou Fou !,2019,3,8,15,8,66,6
Vem aí a Troika,2012,2,4,45,10,133,5
Desert War: Egypt,,,,,,,
Drillit! A Fuga da Montanha de Cristal,2015,2,4,60,10,59,6
Duell,1975,2,2,20,12,247,5
The Battle of the Alma,1978,2,2,120,12,68,6
Warlords,2016,2,4,45,7,34,7
Iliad: Heroes of Troy,2016,2,4,45,12,79,6
Lupin the 3rd,2011,2,5,90,14,157,6
Rotterdam,2007,2,4,60,8,239,5
Name Burst,1992,3,10,30,10,70,6
Magnificent Flying Machines,2018,2,6,150,12,90,6
Turtle Race Mini,2019,2,5,15,5,52,6
Jägersro,1945,2,5,180,9,171,6
Dirge: Carnage in Crimson,2008,2,2,30,0,40,7
Hyper Slide,2007,1,2,10,8,73,6
Wolf & Hound,2016,2,4,20,10,64,6
Lineage II: The Boardgame,2005,2,5,45,12,80,6
D-Day,1961,2,2,120,12,261,5
Jours de gloire Campagne II: La Pologne,2002,1,2,120,12,36,7
Hordes of Grimoor,2015,2,2,30,0,80,6
Crash!,1992,2,3,15,10,54,6
TF22: LOAD!,2012,2,2,20,14,47,6
SCOPE Stalingrad,2020,2,4,15,12,46,7
Casino Yahtzee,1986,2,4,45,8,109,6
Captain Dice (キャプテンダイス),2016,2,4,30,10,47,6
Deus lo Vult,2020,2,4,120,14,70,7
Musical Chairs,2020,2,4,60,14,35,7
Skyjo Action,2019,2,8,30,8,69,6
Robotech: Attack on the SDF-1,2018,1,5,160,12,39,7
Guillotine,1983,4,4,120,10,64,6
Panzer '44: Tactical Armored Combat,,,,,,,
V-Wars,2015,3,5,60,14,84,6
Clue: Dungeons & Dragons,2001,2,6,90,8,293,5
Silly Shenanigans,2015,2,4,15,4,51,6
MoonQuake Escape,2016,2,6,60,10,114,6
Doolittle & Waite,1986,2,8,30,0,85,6
Nok-Hockey,1942,2,2,10,0,49,6
Rapid Recall,1993,4,100,20,16,81,6
Zombie Bus,2018,2,5,30,10,43,6
Conflicting Legends,2016,3,6,30,10,113,6
German Rails,2016,3,5,60,0,37,6
Wormhole,2008,2,2,360,12,43,6
The Forgotten City,2018,2,4,90,10,87,6
Wizards of Mickey CCG,2008,2,6,15,0,63,6
İhtilâl,2015,2,2,90,14,45,7
Piñata Party,2015,2,4,30,8,83,6
Columns,2004,2,2,30,8,45,6
Black Stories 6,2010,2,15,20,12,74,6
Rapid Fire! (Second Edition): Fast Play World War Two Wargames Rules,2005,2,10,240,0,38,7
Hallo Dachs!,1996,2,4,20,6,112,5
Ruins: Death Binder,2020,1,2,120,13,41,7
Submarine,2004,2,5,45,10,391,5
Longboat,2019,2,4,40,8,50,6
Fortress Stalingrad,1988,2,2,240,12,71,6
CrossWise,2008,2,4,20,6,121,5
Grand Prix: F1,2002,3,8,45,7,46,6
Colorfox,2016,2,4,15,6,87,6
Berserk: Knights and Villains,2013,2,2,60,13,66,6
Anno Domini: Fussball,2010,2,8,30,10,49,6
Force Eagle's War,1990,2,2,180,12,48,6
Carrossel,2019,2,4,45,8,92,6
Burger Battle,2018,2,6,45,14,37,7
Red Empire,1990,3,6,90,10,208,5
Gaslight,2000,2,10,120,12,37,7
Royalty,1959,1,6,10,6,57,6
NUTS!,1998,2,4,120,0,107,6
Mafia,2012,3,8,30,14,109,6
La Belle Alliance: The Battle of Waterloo,1976,1,2,120,14,57,6
Sandcastles,2015,1,7,40,6,93,6
Beep! Beep!,2008,2,6,5,8,259,5
No Man's Land: Trench Warfare 1914-1918,2015,1,2,90,12,33,7
Rolling Bandits,2018,2,4,30,8,86,6
Maha Yodha,2014,2,2,20,12,106,6
Celtica,2006,2,5,30,10,754,5
Okavango,2018,2,4,45,10,91,6
Nordwind 1945,2011,2,0,120,0,41,6
Bastogne: The Desperate Defense,,,,,,,
Fairy Tale in My Pocket,2009,1,2,10,5,49,6
Kheops,2008,2,2,45,12,126,5
Grackles,2018,2,4,30,10,92,6
Ogre Castle,2009,3,4,60,10,52,6
Tee oder Kaffee,2019,2,4,20,8,58,6
Fox's Party,2011,2,5,10,6,94,6
London Markets,2016,3,4,60,10,114,6
Dread Pirate: Buccaneer's Revenge,2006,2,4,60,8,152,6
Sojourn,2019,1,1,20,13,86,6
Ultimus Romanorum: La Chute de Rome,2007,2,2,480,0,31,7
Renegade Legion: Prefect,1992,2,2,1800,12,66,6
Electronic Battleship Advanced Mission,2000,2,2,20,8,200,5
Aristo-Maze,2014,3,4,80,12,54,6
Panzer Grenadier: Airborne,2001,2,2,120,12,97,6
Hunted: Kobayashi Tower,2021,1,1,25,14,36,7
Weapon Wars,2018,2,6,40,6,41,7
Sideshow Swap!,2019,2,8,45,8,32,7
Mr. Card Game,2014,2,5,60,13,155,5
Tavern,2006,2,2,45,12,68,6
The Last of the Independents,2010,3,6,120,10,91,6
Moon-Bots,2019,2,4,15,7,58,6
Spearpoint 1943: Eastern Front,2015,2,4,30,13,33,7
Poison Pot,2003,2,3,10,10,58,6
Dice of the Living Dead,2009,1,1,15,8,98,6
Battle Ravens,2019,2,2,60,14,43,6
War for Indagar,2018,1,4,120,13,30,8
Re-Chord,2018,1,5,60,8,65,6
Bella Blümchen,2011,2,4,10,3,98,6
Astron,1954,2,6,30,8,47,6
Lu Zhan Jun Qi,0,2,2,20,10,129,6
Grand National,2001,2,6,45,10,35,7
Clue,2013,2,6,45,8,315,5
Katana: Samurai Action Card Game,2019,2,2,30,8,30,7
Keep Cool,2016,3,8,40,13,50,6
Shootin' Ladders: Frag Fest,2009,3,8,60,13,154,5
Waroong Wars,2015,3,5,40,10,56,7
Target: Leningrad,2010,2,2,45,12,39,6
5x15,2020,1,1,20,8,33,7
Librium,2011,2,4,20,14,53,6
KAITŌ,2019,2,2,0,8,33,7
Ancient Conquest,1975,4,4,300,12,50,6
Ameritocracy,2016,2,4,60,12,30,7
Battle Leader Tactics,2007,2,2,30,0,47,6
Chess 2: The Sequel,2010,2,2,30,0,48,7
Looting Atlantis,2016,2,4,30,10,55,6
Processing: A Game of Serving Humanity,2019,3,6,30,13,51,6
Quintillions,1980,1,4,30,0,34,6
Miscellaneous Game Book,0,0,0,0,0,41,6
Dragon Lairds,2007,2,5,60,10,87,6
8 Bit Attack,2019,1,5,90,10,74,6
Forward to Richmond!,1980,1,4,180,12,59,6
Auf Kurs,1987,2,6,60,12,113,5
Rising Sun Railroads,2011,3,4,120,12,40,6
Alakazoo,2018,2,4,45,8,53,7
Austerlitz: The Battle of Three Emperors,,,,,,,
Dodelido Extreme,2020,2,6,20,8,36,6
Tutti Frutti,2014,2,6,10,4,99,6
Urban War,2005,2,2,60,12,35,7
Guild Stack,2013,2,4,60,12,35,7
Super PACS,2016,2,4,60,14,46,7
Katamino Duo,2013,1,2,10,3,64,6
Gunship: First Strike!,2013,2,4,30,13,243,5
Age of Assassins,2013,3,4,30,10,43,6
Minecraft Card Game?,2015,2,4,45,8,935,5
Murder Mystery Party: A Taste for Wine and Murder,1997,6,8,180,16,36,7
Colonial Space Wars: New Horizons,2013,2,4,30,7,39,7
Free Market: NYC,2020,2,5,180,12,36,8
Fab Fib,2004,3,10,30,10,161,5
Volcanic Isle,2019,2,4,60,13,53,6
Pyramidion,2012,2,4,60,10,143,5
Albion 20,2008,2,2,50,0,31,7
Blood of Noble Men: The Alamo,2006,2,2,120,12,53,6
Petits meurtres & faits divers: au tribunal,2013,4,7,45,14,33,7
HellRail: Second Perdition,1999,3,4,75,13,97,6
Die die DIE,2017,2,5,35,8,37,7
Mū,2019,1,5,35,10,89,5
The Battle of Tanga 1914,2015,1,2,360,12,44,6
Call My Bluff,1965,2,6,60,10,32,7
La Guerre de l'Empereur,1997,2,7,240,12,68,6
Star Trek HeroClix: Tactics,2012,2,2,60,14,108,6
Word-Whiz,1996,2,4,30,10,50,6
Kawaguchi's Gamble: Edson's Ridge - The Battle for Guadalcanal,2015,2,2,150,0,52,6
Venus Needs Men,2006,2,6,90,12,98,6
Vivarium,2017,2,5,150,14,97,6
Bankraub,2013,3,5,90,12,64,6
Across the Board,1975,3,7,60,0,39,6
Million Club,2016,2,6,90,10,127,6
Kraut & Rüben,1998,3,5,30,8,113,5
This House Is Haunted,2014,4,8,60,0,34,7
Loot,1993,2,8,0,6,72,6
Kineti-Go Magnetic Shuffleboard,2004,2,2,20,6,48,6
Burning Rome,2018,2,4,30,14,49,6
Murder,,,,,,,
Suzerain,1993,2,6,60,12,116,5
TacTiki,2021,2,2,30,12,31,8
Panic Tower!,2009,2,8,20,8,160,5
Fall of Berlin,1998,1,2,20,12,41,6
Order Up,2009,2,4,30,6,129,6
Power On!,2018,2,4,50,6,44,6
Spicy Farkel,2006,2,6,15,8,88,6
Smithereens: The End of World War II in Europe,1993,1,3,360,12,55,6
Sitting Ducks Deluxe,2015,3,6,20,10,72,6
Champs de bataille: Soissons 486 et Poitiers 732,1996,2,2,60,12,47,6
Jungle Speed Electronique,2011,3,8,15,7,91,6
Covenant,2016,3,5,45,10,62,6
Ovni,2013,3,4,60,14,43,6
Mafia: Vendetta,2012,7,17,20,10,107,6
Rogue Agent,2013,2,4,90,12,230,5
Giant Monster Rampage,2002,2,2,60,12,31,7
First Team: Vietnam,1986,1,1,120,12,67,6
Im Wald da sind die Räuber,2008,2,4,60,10,99,6
Sarah's Vision,2019,1,4,90,14,72,6
Dolina królików,2019,2,4,60,6,34,7
Elemental Rift,2008,2,4,30,9,72,6
Gardens of Mars,2011,2,5,90,13,39,7
Neutron,1978,2,2,10,0,55,6
Rebis,2020,1,4,30,0,33,7
The First Crusade,2016,1,1,0,0,34,7
Schmovie,2013,3,99,35,13,111,6
Albedo,2017,2,4,45,14,47,6
Wing It: The Game of Extreme Storytelling,2017,4,7,90,12,55,6
Furry Foodies,2019,2,4,20,8,45,7
Lagoonies,2016,2,4,20,5,92,6
Old Town: Solo,2007,1,1,10,10,73,6
Battle of Durak,2014,2,4,15,8,62,6
The Game of Medici: Arms,,,,,,,
Boufbowl,2018,2,2,45,10,50,6
Greyhawk Adventures: Wars,1991,2,6,180,12,218,5
Pandoria Merchants,2020,1,4,90,8,39,6
100 Swords: The Silver Queen's Dungeon,2017,1,2,0,13,33,7
More Backpacks and Blisters,1994,2,6,60,10,56,6
18EZ,2009,2,6,60,0,84,6
Match Up! Food,2018,1,10,45,10,53,6
Supervillain: This Galaxy Is Mine!,2018,2,4,60,12,76,6
Get Nuts,2011,3,6,45,8,212,5
Roliça et Vimeiro 1808,2008,2,0,0,0,30,7
Quest Stories,2016,3,5,45,8,53,6
Pizza Master,2017,2,5,60,8,47,7
Start 11!  The Board Game,2012,2,4,30,8,72,6
One Hit Kill,2015,2,3,15,8,123,6
dude,2018,3,6,5,13,353,5
Category Game,1994,2,8,30,14,48,6
Zoned Out,2020,2,4,45,0,38,7
Kampf gegen das Bünzlitum,2016,3,10,30,18,50,6
Rollway Station,2020,1,1,45,0,33,7
Dark Frontier,2015,1,4,45,13,42,6
Metric Mile,1986,1,10,0,10,34,7
All Time Championship Soccer,2010,1,32,15,8,35,7
Sealords: The Vietnam War in the Mekong Delta,2007,2,2,180,12,41,7
Jutland: Duel of the Dreadnoughts,1991,2,4,60,12,74,6
Bullets and Teeth,2017,3,5,30,13,83,6
18US,2005,2,6,240,14,36,6
Eden: Survive the Apocalypse,2009,0,2,60,10,35,7
No Swap No Pay,2019,3,5,30,8,55,6
Guillotine,1987,2,4,90,10,63,6
Starlink,2020,3,6,0,8,47,6
Sushi War: All You Can Hit!,2017,2,5,45,7,113,6
The Scrambled States of America: Deluxe Edition,2002,2,4,20,8,245,5
Lilliburlero: The Battle of the Boyne,,,,,,,
Think: Memo Crime,1997,2,6,90,16,98,6
Guerra a Muerte,2008,2,2,360,12,58,6
ORE-SOME,2017,2,4,60,8,95,6
iKNOW: Amazing Earth,2014,2,4,30,15,37,6
The Garlic Vampires,2008,2,4,20,5,43,6
Opus-Dei: Existence After Religion,2008,2,6,45,16,139,6
Fibonacci,1992,2,2,30,0,62,6
Trenton 1776,2015,2,2,120,10,40,6
Fortress Sevastopol,2017,2,2,120,12,33,8
Anno Domini: Schweiz,1998,2,8,30,10,48,6
When Tigers Fight,1994,2,2,300,14,88,6
Miscellaneous Game Magazine,0,0,0,0,0,30,7
Hinkel & Stein,2010,2,4,60,8,48,6
Jackal & High,2012,2,5,20,8,155,5
Assist,2011,3,7,15,6,72,6
James Clavell's Noble House,1981,2,5,180,12,63,6
The Gate of R'lyeh,2018,4,8,60,12,32,7
Bid Euchre,0,4,4,30,10,31,7
Dragon Tides,2015,1,5,60,13,77,6
Castle Climbing Frog,2017,2,4,20,5,46,6
Savage Streets,2011,1,2,120,12,56,6
Knights of Ten,2012,2,4,30,8,55,7
Island Trader,2008,1,2,30,0,66,6
Pentos,2013,2,5,30,7,177,5
Art of War,2007,2,6,90,0,52,7
Battle for China,1999,2,3,360,12,35,7
Orphan Black: The Card Game,2015,3,6,30,12,80,6
Team Yankee,1987,2,2,360,12,131,6
Orient Bazaar,2010,2,4,10,7,64,6
Redemption,1995,2,5,30,7,262,6
New Mastermind,2004,2,5,30,8,209,5
Over the Top! Four Battles from World War One,1997,2,2,120,12,53,6
Space Station Zemo,1998,2,5,45,10,54,6
H.D.P.: Hasta Donde Puedas,2016,4,30,30,18,84,6
Boing!,1996,2,4,5,5,52,6
TravelBattle,2017,2,2,60,12,44,7
Schlag den Raab: Das Quiz,2012,2,6,60,12,38,6
Bla5t,2016,3,5,45,10,31,7
Uppsala: Città d'Italia,2009,2,6,20,10,43,6
Konflikt '47,2016,2,2,0,12,31,7
Hexenflug,2010,2,5,30,8,111,5
Macbeth,2018,2,5,45,12,50,6
Crimebox Investigation,2012,2,8,30,12,80,6
Super Hazard Quest,2017,2,8,60,10,62,6
Insula,2009,2,5,60,8,105,6
Colorku,2003,1,4,120,8,39,7
Vanished!,1990,2,6,20,16,208,5
Kannibohne,2006,2,2,45,10,58,6
UNDO: Forbidden Knowledge,2019,2,6,90,10,69,6
Sherlock Holmes & Moriarty: Associates,2015,1,1,0,10,30,7
Somali Pirates,2012,1,2,0,0,35,6
12 Patrols,2019,1,1,15,12,65,6
6 nimmt! Schnupperspiel,1994,2,4,30,10,34,7
Home on Lagrange,2018,2,5,50,14,47,6
Manimals: Europa 1,2007,2,6,15,6,41,6
Wizard Junior,2006,3,6,20,8,55,6
The Blessed Dark,2019,2,4,30,13,39,7
Eagles of the Empire: Borodino,1994,1,2,180,12,57,6
Chairs,1999,1,99,20,5,769,5
Ka Pai,2019,2,4,15,8,120,6
Anatomy Fluxx,2018,2,6,30,8,101,6
A Line in the Sand: The Battle of Iraq,1991,2,6,180,10,210,5
300: The Board Game,2007,2,4,30,17,178,5
Pyramidis,1988,2,4,30,12,156,5
Transylvania: Curses & Traitors,2015,3,6,45,12,176,5
Lee Takes Command,1993,2,2,300,12,60,6
Adventurer: A Game of Man to Man Brawling in the Far Future,1980,2,6,90,12,81,6
Among Thieves,2019,3,8,45,14,90,6
Curses!,2001,3,6,25,12,575,5
Brettfußball,1984,2,2,45,12,66,6
Frutticola,2020,2,4,60,10,38,6
OMEGA,2010,2,4,30,8,39,7
Museum Heist,2017,2,4,20,8,83,6
Deckscape: Demo,2017,1,6,10,12,49,6
Riffifi,2000,3,5,15,10,97,6
Zombie Cinema,2008,3,6,120,12,34,6
Graveyards,,,,,,,
Plotalot,2020,2,5,45,8,30,7
Botts and Balls,2004,2,6,45,12,39,6
Card Capture,2018,1,1,30,8,36,7
The Fulda Gap: The Battle for the Center,2020,1,4,3000,0,37,7
Les Fils de Samarande,2005,2,5,60,10,86,6
The Adventure Zone: Bureau of Balance Game,2020,2,5,90,12,85,9
Jumbo Grand Prix,1998,2,5,30,8,132,5
Les taxis de la Marne,2015,1,5,30,10,72,6
Kyoto,2020,3,6,45,10,33,7
D-Day at Iwo Jima,2018,1,2,360,0,52,6
Pink Hijinks,2012,2,2,5,14,126,6
Vinegar Joe's War: CBI,2005,1,2,240,12,43,6
Avalanche,1965,2,6,30,8,244,5
Pentalath,2009,2,2,20,8,43,6
Zombie Kidz,2013,2,4,15,7,175,5
Kung Fu 2100,1980,1,2,90,12,81,6
Seven Seas to Victory,1992,2,2,120,12,34,7
Cosmic Balance,2016,2,5,60,12,37,7
Wembley,1952,3,8,60,12,103,6
Sergeants D-Day,2014,2,4,90,12,35,7
No Dice,1987,2,4,30,8,39,6
Escrete,1982,2,4,120,10,33,7
Floriado,2003,2,2,20,10,71,6
Mason-Dixon: The Second American Civil War,1995,2,2,120,12,62,6
Anzio/Cassino,2010,2,2,0,0,62,6
Bittereinder: The Second Anglo-Boer War,,,,,,,
Street Fighter: The Miniatures Game,2020,2,6,90,14,89,8
Gettysburg: High Tide of the Confederacy,1982,2,8,600,12,33,7
Pitch Deck,2017,4,12,60,17,52,6
Dr. Beaker,2017,2,4,15,8,104,6
Infinity Dungeon: Peril without End,2012,3,8,60,10,84,6
Farkle,0,2,8,30,8,66,6
Relic Knights: Darkspace Calamity,2014,2,4,60,13,52,6
Momentum,2010,2,3,15,10,44,6
Orbit,1993,3,6,45,12,67,6
Little Thunder Witch,2006,2,4,15,5,60,6
Fatal Alliances II,1994,2,5,240,12,48,6
Les Dieux Nomades,1994,2,5,300,0,35,7
Adaman,2010,1,1,10,0,102,6
Mini Car Wars,1987,2,8,0,10,58,6
Credo!: the Game of Dueling Dogmas,1993,2,5,60,12,228,5
Whales Destroying The World,2019,3,6,20,7,74,6
Batman: The Animated Series - Rogues Gallery,2019,3,5,45,12,57,6
Widget Ridge,2019,1,2,45,12,42,7
CONEX,2017,2,4,20,8,158,5
Star System,2007,2,2,30,9,99,6
Экивоки,2013,2,16,60,16,73,6
Wonderland Xiii,2018,2,4,30,6,48,6
10 Dice,2020,2,8,30,10,42,7
You Suck,2013,2,6,30,8,128,5
La Casa de Papel Escape Game,2019,3,8,90,14,49,6
Czechoslovakia 1938,1993,2,2,180,12,80,6
Flash 10,2013,2,5,20,8,74,6
L'Auberge des pirates,2018,2,8,20,7,35,6
Dead Man's Chest,2015,3,8,30,8,205,5
Sumoku,2010,1,8,15,9,116,5
The Phoenix Syndicate,2019,2,4,90,14,33,7
"Chariot: Tactical Warfare in the ""Biblical"" Age",,,,,,,
Valley Of The Four Winds,1980,2,2,60,12,112,5
Cité,2010,3,4,60,10,123,6
Pokémon Master Trainer,1999,2,6,45,7,1264,5
Blitzkrieg 1940,1997,2,2,120,12,58,6
Byzantium,1996,2,4,180,0,56,6
Wordz,2011,3,7,20,10,45,6
Battlegame Book 2: Knights at War,1975,2,4,20,7,45,6
Ultimate,2008,2,2,15,0,46,6
Storage Wars: The Game,2012,2,6,30,8,129,5
Hagakure,2020,3,5,25,10,68,6
Nuts!,2005,1,8,120,10,39,6
Invasion: Earth,1981,2,2,120,12,95,6
Der Schatz der 13 Inseln,2015,2,4,20,6,59,6
BANG!: Halo,2014,3,7,30,8,123,6
Anno Domini,1995,4,4,60,10,145,5
The Cossacks Are Coming!: The Tannenberg Campaign August and September,,,,,,,
BARPIG,2017,3,7,60,13,94,6
Ten Suns,2020,1,6,45,10,30,7
GiftTRAP Lite,2010,3,8,30,5,67,6
Chosin: X Corps Escapes the Trap,2009,2,2,240,12,39,6
Flintloque,1995,2,2,120,0,45,6
Shiloh: The Battle for Tennessee,,,,,,,
Thoughtwave,1974,2,2,20,8,72,6
Gods,2001,2,4,45,12,172,5
Takara Island,2011,2,6,45,8,165,5
The Contender: The Game of Presidential Debate,2015,3,99,30,11,108,6
Fast Food,2009,2,6,15,7,102,6
Desktop HEBOCON Battle Kit,2017,2,4,40,6,36,6
Decipher,2020,2,4,30,10,43,6
Girl Genius: The Works,2018,2,4,30,12,37,6
King's Valley,2006,2,2,5,0,43,6
Panzer Korps,1982,1,2,120,12,34,7
Bitskrieg,2017,2,2,30,6,39,6
Pie Factory,2014,2,4,30,10,296,5
Six Day War: 1967,2012,1,2,0,0,41,6
Ambagibus,2009,1,1,15,0,52,6
Ohio,1998,2,5,30,12,111,5
Laguna,2000,2,4,30,9,146,5
Into the Black: Boarding Party,2018,1,4,120,13,43,7
Instacrime: Munford,2020,2,6,60,10,59,6
Tavern Fame,2015,2,5,30,10,63,6
Micro City,2018,1,1,30,10,54,6
Brother against Brother,1997,2,2,180,14,34,7
Pacific Rim: Extinction,2018,2,6,90,14,37,7
Trappist One,2018,2,4,60,12,63,6
The Lord of the Rings Labyrinth,2003,2,4,60,9,88,6
Sherlock Deluxe,2009,2,5,15,5,50,6
Tolomeo,2017,2,5,60,8,37,7
Deliverance,2020,1,4,120,13,34,9
Terra Turrium,1990,2,4,90,12,90,6
Flippin' Fruit,2014,2,4,15,8,36,6
Feed the ducks,2011,2,4,20,6,37,7
BASKETmind,2012,2,2,45,11,36,7
Apples to Apples to Go,2007,4,8,30,12,386,5
Austerlitz 1805: Le choc des cavaleries,1995,2,2,240,12,31,7
Sonic the Hedgehog: Battle Racers,2018,1,5,60,9,44,7
East & West: The Third Mondial War,1981,2,6,360,12,84,6
Pirates,,,,,,,
Star Wars Lightsaber Dueling,1988,2,2,20,12,102,5
Raid the Pantry,2012,2,4,30,8,48,7
Abilene,1983,3,6,45,8,142,5
SYNOD,2016,2,2,15,0,52,6
Telepaths,1992,4,24,60,9,109,6
Baden-Württemberg Catan,2012,3,4,60,10,34,7
Operation Spark: the Relief of Leningrad 1943,1997,2,2,180,0,38,6
James Clavell's Shogun Card Game,1983,3,8,60,10,69,6
Mint Condition,2019,2,5,25,10,78,6
The Village Crone,2015,1,6,90,13,350,5
Ecologies,2019,1,6,90,12,41,7
Word Jam,2004,5,12,20,10,136,5
Damocles Mission,1983,1,1,120,10,80,6
Paris vaut bien une Messe! Les Guerres de Religion 1562-1598,2003,2,2,60,12,40,6
Charlemagne: Dark Ages in Europe,1998,2,2,120,12,60,6
Find Your Seats,2017,3,4,20,8,58,6
Spoilers: The Game - Travel Edition,2020,1,8,25,10,34,6
Ophidian 2350 CCG,2003,2,2,30,8,84,6
Lettow-Vorbeck East Africa 1914-1918,2015,2,2,120,0,39,6
Deal: American Dream,2015,3,6,90,16,70,6
Crusades II,1994,2,2,240,12,62,6
Kniffel Extreme,2011,2,4,20,8,63,6
Karma,2014,2,6,20,8,253,5
LIXO?,2011,2,6,20,6,83,6
Third and Long: The Football Card Game,2010,2,2,60,10,54,6
Queen Bee,2020,2,6,90,10,51,8
Demonslayer: Siege of Mt. Kunlun,2014,1,4,120,9,66,6
Arkeis,2021,1,5,60,10,46,7
Armies of Arcana,1997,2,8,120,0,46,7
Hit the Throttle!,2010,2,5,15,4,76,6
